,Age,Price,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Shipping delay in days,Arrival delay in days,Male,Premium,Used,Home/Kitchen,Other,Sport,Technology
pc11,-0.02663864025398881,-0.008334611787988791,-0.0038596456038050672,0.0029331520990760317,-0.048947257737118395,0.12802957783520796,-0.012985572287273109,0.6453528596082149,-0.009423680271053593,-0.748694422725701,0.04285287401266637,-0.018269724873304048,-0.022585648401035212,0.020097029260353547,-0.0010258118251331796,0.00041108711651789785,-0.003413845340838537,0.0002805822256548354,0.004250508483425425,-0.0037083978994534063
pc12,-0.023501179996171122,-0.017318416595121157,0.003439695596772326,-0.004241957725166055,-0.6891847534230768,-0.021894523701771883,-0.02639495476032862,-0.04767322990419951,-0.08321980481337034,0.04418990007737603,0.7151367392470813,-0.011122334484806217,-0.0008010428927345003,0.007017957846123583,0.009879563420719627,0.0009165186917242172,0.0010588136847553544,-0.0014100587438078435,0.0038624090019941126,-0.010227619681330362
pc13,-0.0009664466654433861,-4.9901881702114065e-05,-0.006197759178156025,0.004158313250081951,0.009045023268189808,0.006978782966615892,-0.004738832351493454,-0.0037739555135202886,-0.0032388615348275104,0.001435073923462739,-0.00625585903512608,0.0017903093941083982,0.002285984305702403,0.04709535779409115,-0.0023412938326857337,-0.0008924460300468341,0.4599156267432135,0.029569692032092917,0.14849634221494973,-0.8735238195402656
pc14,-0.015957738854605056,-0.00590406113650579,-0.009446228337596856,0.006377395262260048,-0.0062823123416593215,0.04200351561005424,-0.015138004858848832,-0.019139384683806823,0.0011133784584698896,-0.03433568189316561,0.0036722790008950055,0.0024083607016197953,-0.0026673234585029956,-0.9961479534072917,0.03835560825424316,-0.0012178777668823053,0.01822382115405606,0.001347778066816707,0.008172938448726571,-0.042316321173263206
pc15,0.001562024528682795,0.00408435990727528,-0.00015952441836514792,0.0018860872622570202,0.0037727015676894383,-0.0016472690183177187,-0.0012413449493088326,-0.004408643319663392,0.002932662499387081,0.00376157471476418,-0.0024179989714768185,0.0014036748233816323,-0.0008166078130779911,0.0028320122129773468,-0.015672813339807534,-0.0016840533678834178,-0.7377884917561119,0.05130477560940539,0.6105713616011451,-0.28264857696135737
pc16,0.08895298772686042,0.07076247313793532,0.12664925915174627,-0.06597722433387922,0.0021769508984646048,0.018718659202941537,0.013771121932503218,-0.02268980723017664,-0.009764092505171438,-0.020059696129581566,0.019576815352425,0.010550795981397697,-0.013139033769855918,-0.03945439700557348,-0.9811522819402301,0.001427465387522199,0.011037095954732666,-0.00218423144872219,-0.010348884967299434,0.003209607500085819
pc17,-0.003216517011028417,-0.005670890431867173,0.00029273859706025244,-0.001326445058118875,-0.004410432663214388,-0.004101868180393806,-0.000188827450324199,-0.0008547462029994975,0.002140973530554252,0.003446997171887426,0.005308300491076915,0.7068999495497312,-0.7068352405393864,0.0041044063029364395,0.016290731643171432,-0.001899545947479947,-0.004616720103607611,0.010689507211260475,-0.010549257820219581,-0.004202137076300964
pc18,-0.0007593641502158616,0.0003071989663136176,0.002172716463085992,-0.0006828945232396428,0.0004202736885103681,0.0013627979069748134,-0.00047252225579725665,0.00021974448825047406,0.0005394072771343924,0.00016820128979040872,0.0003764381977469794,-0.01064167737625898,0.010061124448386485,0.0011337651358012432,0.0009309471778070245,0.015656894561364734,-0.46634364996212857,0.2796839850732629,-0.7556355205278836,-0.3644791384657031
pc19,-7.407102658923839e-06,-0.001169253803673222,0.0011718048941903641,-0.0016450314898108244,0.0005510978016615964,0.0023207535596386974,0.0022989718514500566,-0.002575425759592761,-0.0003221914902032765,-0.0013542693282785534,-0.0008134836536158084,0.0008779923194300269,-0.0021835738516274086,-0.0009698692480500696,0.0018329783124728422,0.9998331091494874,0.005311633276424909,-0.011038378559416213,0.011706099695242613,0.0033419664317405604
pc20,0.0005963806306075041,5.591565166252558e-05,0.0003486136938161268,0.00020783032040982142,-0.0013166773431928175,-0.0003949958206445966,1.143843346818295e-05,-0.0004079190266229526,0.0013217694316011673,-0.00042440371694996056,0.0016383628557427837,-0.004257432681057001,0.005513462735639547,-0.0006468467724475932,-0.0017318532103320445,0.0070944064732648025,0.161559950695655,0.9581341783655388,0.18351533724419572,0.14862683507509653
